商品名称,关键词,价格,供应商,地址,来源,采集时间
医用高清影像系统 耳鼻喉内窥镜 宫腔 腹腔 膀胱 关节镜 五官科内 窥镜,内窥镜,面议/台,徐州市凯尔医学仪器有限公司,,百度爱采购,2026-01-17 16:47:00
好克 30°宫腔内窥镜 GQ-VA 图像清晰 操作简单 安全可靠,内窥镜,面议,上海寰春医疗器械有限公司,,百度爱采购,2026-01-17 16:47:00
奥林巴斯 电子上消化道内窥镜 GIF-H170 (胃镜),内窥镜,面议/台,上海灵添医疗器械有限公司,,百度爱采购,2026-01-17 16:47:00
消化内科用电子上消化道内窥镜 操作简便图像清晰胃肠内窥检查设备,内窥镜,面议,徐州美康电子设备有限公司,,百度爱采购,2026-01-17 16:47:01
澳华 电子上消化道内窥镜 与AQ-200配合使用 FHD-GT200J,内窥镜,面议,企晟（上海）医疗器械有限公司,,百度爱采购,2026-01-17 16:47:01
阴道镜 一台起批 高清电子阴道内窥镜妇科检查镜一体机,内窥镜,面议/台,徐州迪速迈电子科技有限公司,,百度爱采购,2026-01-17 16:47:02
DD-400型光学内窥镜摄像系统 肛肠双检查系统设备 自带光源,内窥镜,面议,河南大豆医疗科技有限公司,,百度爱采购,2026-01-17 16:47:02
奥林巴斯GIF-HQ290 电子上消化道内窥镜 H290等现货,内窥镜,面议,越晟百克（上海）医疗科技有限责任公司,,百度爱采购,2026-01-17 16:47:02
一次性使用黏膜切开刀 内窥镜耗材 奥林巴斯TB-0535FC KD-655Q,内窥镜,面议,北京鹤盛贸易有限公司,,百度爱采购,2026-01-17 16:47:03
沈大 电切内窥镜QD-2型 宏慷供应 厂家直发 品质保障,内窥镜,面议/个,上海宏慷医疗器械有限公司,,百度爱采购,2026-01-17 16:47:03
供应电切内窥镜理查德沃尔夫 进口医用设备询价,内窥镜,面议,上海聚慕医疗器械有限公司,,百度爱采购,2026-01-17 16:47:04
医院管理软件HIS系统 医院办公自动化系统 门急诊划价收费系统,办公收费系统,1.05万/套,河南威斯尔软件科技有限公司,,百度爱采购,2026-01-17 16:40:43
物业管理系统 水电收费住宅小区公寓办公商铺出租管理软件平台系统,办公收费系统,3980.00元/套,北京好客在线科技有限公司,,百度爱采购,2026-01-17 16:40:43
盛辉嘉业智能车牌识别停车收费系统 秒快识 99%高识别率办公楼适用,办公收费系统,988.00元/台,北京盛辉嘉业电子科技有限公司,,百度爱采购,2026-01-17 16:40:45
小区办公楼高清车牌识别系统一体机停车场收费管理系统,办公收费系统,5999.00元/台,深圳市卡联科技股份有限公司,,百度爱采购,2026-01-17 16:40:45
阿筑工程管理软件 办公项目管理SaaS云系统 买断按年收费,办公收费系统,876.00元/个,西安春辉软件科技有限公司,,百度爱采购,2026-01-17 16:40:45
充电桩收费运营云平台 商业办公楼新能源汽车充电管理系统,办公收费系统,1000.00元/套,东莞市臻享物联科技有限公司,,百度爱采购,2026-01-17 16:40:46
软件定制服务 办公程序开发设计 企业收费管理系统 财务管理系统,办公收费系统,6000.00元/套,北京鑫泰维科技发展有限公司,,百度爱采购,2026-01-17 16:40:46
领启智能 水电预付费 综合计费系统 商铺、学校、办公楼 手机扫码调试,办公收费系统,5.00万/台,南京领启智能技术有限公司,,百度爱采购,2026-01-17 16:40:47
萍 乡扬子多联机计费系统 适用办公楼 维持温度平衡,办公收费系统,888.00元/台,赣州星控暖通设备有限公司,,百度爱采购,2026-01-17 16:40:47
蓝科 智慧停车场系统定制 办公场所 自动化程度高 收费功能 不易腐蚀,办公收费系统,1.20万/套,合肥蓝科智能起重设备有限公司,,百度爱采购,2026-01-17 16:40:48
ip网络对讲系统办公室校园停车场收费站min语音视频对讲报警设备,办公收费系统,988.00元/台,中控泰科（北京）科技发展有限公司,,百度爱采购,2026-01-17 16:40:48
建筑能耗监测管理系统 办公楼自来水收费系统 远程预付费抄表系统,办公收费系统,1.37万/套,深圳合众致达科技有限公司,,百度爱采购,2026-01-17 16:40:49
安科瑞充电桩收费运营云平台 商业办公楼新能源汽车充电管理系统,办公收费系统,25.00万/套,安科瑞电气股份有限公司,,百度爱采购,2026-01-17 16:40:49
办公水电预付费系统 AcrelCloud-3200安科瑞远程抄表收费解决方案,办公收费系统,12.50万/件,安科瑞电子商务（上海）有限公司,,百度爱采购,2026-01-17 16:40:49
办公收费系统条码打印机亚马逊认证公司 行业内科学商品测试 安博,办公收费系统,460.00元/件,深圳安博检测股份有限公司,,百度爱采购,2026-01-17 16:40:50
办公楼中央空调分户计费系统-计费系统报价-多联机空调适用,办公收费系统,888.00元/件,杭州立辰暖通科技有限公司,,百度爱采购,2026-01-17 16:40:50
河南郑州二七 医院信息系统 医院办公自动化系统 门急诊划价收费系统,办公收费系统,1.00元/套,河南威斯尔软件科技有限公司,,百度爱采购,2026-01-17 16:40:51
诸 城奥克斯多联机计费系统 适用办公楼 维持温度平衡,办公收费系统,888.00元/台,赣州星控暖通设备有限公司,,百度爱采购,2026-01-17 16:40:51
智能停车场系统厂家 收费功能 办公场所 上门安装 蓝科 提高防护性,办公收费系统,1.20万/套,合肥蓝科智能起重设备有限公司,,百度爱采购,2026-01-17 16:40:52
办公收费系统条码打印机亚马逊检测 商品认证 专业科学测试 安博,办公收费系统,478.00元/件,深圳安博检测股份有限公司,,百度爱采购,2026-01-17 16:40:52
天 津三星多联机计费系统 适用办公楼 维持温度平衡,办公收费系统,888.00元/台,赣州星控暖通设备有限公司,,百度爱采购,2026-01-17 16:40:53
象 山扬子多联机计费系统 适用办公楼 维持温度平衡,办公收费系统,888.00元/台,赣州星控暖通设备有限公司,,百度爱采购,2026-01-17 16:40:53
江 门东芝多联机计费系统 适用办公楼 远程温度调整,办公收费系统,888.00元/台,赣州星控暖通设备有限公司,,百度爱采购,2026-01-17 16:40:54
洛 阳特灵多联机计费系统 适用办公楼 维持温度平衡,办公收费系统,888.00元/台,赣州星控暖通设备有限公司,,百度爱采购,2026-01-17 16:40:54
九 江特灵多联机计费系统 适用办公楼 维持温度平衡,办公收费系统,888.00元/台,赣州星控暖通设备有限公司,,百度爱采购,2026-01-17 16:40:55
哈尔 滨美的多联机计费系统 适用办公楼 远程温度调整,办公收费系统,888.00元/台,赣州星控暖通设备有限公司,,百度爱采购,2026-01-17 16:40:55
嘉 兴三星多联机计费系统 适用办公楼 维持温度平衡,办公收费系统,888.00元/台,赣州星控暖通设备有限公司,,百度爱采购,2026-01-17 16:40:56
绍 兴奥克斯多联机计费系统 适用办公楼 远程温度调整,办公收费系统,888.00元/台,赣州星控暖通设备有限公司,,百度爱采购,2026-01-17 16:40:57
海 口天加多联机计费系统 适用办公楼 维持温度平衡,办公收费系统,888.00元/台,赣州星控暖通设备有限公司,,百度爱采购,2026-01-17 16:40:57
重 庆海信多联机计费系统 适用办公楼 远程温度调整,办公收费系统,888.00元/台,赣州星控暖通设备有限公司,,百度爱采购,2026-01-17 16:40:58
道路1吨压路机 草坪泥土压实机 工程回填压道机,压路机,2.64万/台,金乡县华驰工程机械有限公司,,百度爱采购,2026-01-17 16:34:44
小型压路机1吨3吨震动座驾沥青草坪压实压土机,压路机,4300.00元/台,山东翔工机械有限公司,,百度爱采购,2026-01-17 16:34:45
哈威重工冲击碾压机YP30 梅花碾压路机 204kw功率齐全规格,压路机,6.80万/台,河南哈威重工科技有限公司,,百度爱采购,2026-01-17 16:34:45
路工机械设备 梅花碾冲击压路机 规模生产 筑路工艺精湛,压路机,6.36万/台,河南省路工机械设备有限公司,,百度爱采购,2026-01-17 16:34:46
启明星 全液压压路机 道路压平机械 修路设备 运行平稳 货源充足,压路机,1.00万/台,山东启明星机械设备有限公司,,百度爱采购,2026-01-17 16:34:46
STORIKE/SDBM两吨小型压路机双钢轮全液压操作,压路机,3000.00元/台,山东奔马工程机械有限公司,,百度爱采购,2026-01-17 16:34:47
道路压实机械 驾驶式振动压实机 小型压路机出租,压路机,6666.00元/台,徐州市华通公路工程机械有限公司,,百度爱采购,2026-01-17 16:34:47
柴油座驾压路机沟槽回膜压实机 全液压震动冲击式压土机,压路机,4099.00元/台,山东东程机械制造有限公司,,百度爱采购,2026-01-17 16:34:48
YLJ-2T座驾式双钢轮压路机 全液压双驱动碾实机 利亨多种款式,压路机,2.30万/台,山东利亨机械集团有限公司,,百度爱采购,2026-01-17 16:34:49
单钢轮压路机 8吨沥青路面土方压实机 支持定做,压路机,1.30万/台,山东诺特机械有限公司,,百度爱采购,2026-01-17 16:34:49
徐工集团1吨双钢轮座驾式振动压路机电喷水电启动转弯灵活,压路机,2.50万/台,济宁路安机械有限公司,,百度爱采购,2026-01-17 16:34:49
震动冲击式压路机 篮球场压实压平机 实体工厂,压路机,1.00万/台,山东思拓瑞克工程机械有限公司,,百度爱采购,2026-01-17 16:34:50
回填土手扶座驾式压路机1吨2吨3吨6吨8吨10吨压路压实机,压路机,5000.00元/台,山东捷克机械有限公司,,百度爱采购,2026-01-17 16:34:51
绿地租赁专业出租263236吨压路机 羊角碾 可定制,压路机,1.00万/台,徐州绿地工程机械租赁有限公司,,百度爱采购,2026-01-17 16:35:03
小型手扶式单钢轮压路机，小柴油手扶工程压实机,压路机,8303.00元/台,山东骄之力机械设备有限公司,,百度爱采购,2026-01-17 16:35:04
全国小型压路机品牌排行 匠工手扶双轮厂家 低价销售,压路机,6800.00元/台,山东匠工机械有限公司,,百度爱采购,2026-01-17 16:35:04
小型震动双轮压土机驾驶路面机械全液压微型压路机,压路机,1.45万/台,山东宏浩机电设备制造有限公司,,百度爱采购,2026-01-17 16:35:04
小型座驾压路机 道路施工冲击式压土机 结构简单,压路机,6500.00元/台,济宁亚科机械设备有限公司,,百度爱采购,2026-01-17 16:35:05
小型座驾压路机 驾驶式双钢轮 后轮辅助 性价比高,压路机,1.18万/台,山东翔工机械有限公司,,百度爱采购,2026-01-17 16:35:05
科瑞机械 双钢轮压路机 地下室压实设备 安全性能高,压路机,9800.00元/台,山东科瑞机械设备有限公司,,百度爱采购,2026-01-17 16:35:06
鼎东手扶双轮 液压震动钢轮小型压土机 座驾压路机,压路机,1.10万/部,济宁鼎东机械设备有限公司,,百度爱采购,2026-01-17 16:35:07
鼎东座驾式双驱振动压路机 马路路面整平设备,压路机,1.10万/件,济宁鼎东机械设备有限公司,,百度爱采购,2026-01-17 16:35:07
聚仁压路机 压路器小钢轮 钢轮小型压土机设备,压路机,1.20万/部,山东聚仁机械有限公司,,百度爱采购,2026-01-17 16:35:08
鼎东压路机 座驾液压震动压实机 手扶式压土机,压路机,1.17万/部,济宁鼎东机械设备有限公司,,百度爱采购,2026-01-17 16:35:08
小型压路机厂家 微型单双钢轮回填路面用 CE质量认证,压路机,9562.00元/台,中旺机械装备（山东）有限公司,,百度爱采购,2026-01-17 16:35:09
质量稳定 冲击式压路机 售后服务用心 厂家直售 艾迪尔,压路机,8600.00元/台,徐州艾迪尔机械科技有限公司,,百度爱采购,2026-01-17 16:35:09
小型压路机 手扶 / 座驾可选 庭院 / 乡村道路压实 厂家直售,压路机,1.50万/台,山东恒旺重工机械设备有限公司,,百度爱采购,2026-01-17 16:35:10
压路机沥青路面压实压土机座驾柴油振动压实机,压路机,9125.00元/台,山东奥莱机械有限公司,,百度爱采购,2026-01-17 16:35:10
艾立克 座驾式压路机 双驱振动碾 新压实机小型单轮,压路机,1.10万/台,山东艾立克工程机械有限公司,,百度爱采购,2026-01-17 16:35:11
行驶模式灵活 全向叉车 高负载能力 适用于大型仓库 常宝盛,叉车,6.80万/台,常州常宝盛叉车有限公司,,百度爱采购,2026-01-17 16:35:20
前移式电动叉车 门架堆高车 仓库搬运车 省时省力,叉车,7.00万/套,成都山野机械设备有限公司,,百度爱采购,2026-01-17 16:35:21
电调光膜PET基材专业生产商 诺力叉车品质保证 环保材料,叉车,60.00元/件,深圳市通利健科技有限公司,,百度爱采购,2026-01-17 16:35:23
丰田原装进口1.5吨平衡重叉车 两节门架标准提升3米,叉车,5800.00元/台,上海永恪叉车有限公司,,百度爱采购,2026-01-17 16:35:24
3.6吨重型电动托盘车 晟煜叉车 升高1440mm 新能源便携式叉 车,叉车,7600.00元/台,山西华康机械制造有限公司,,百度爱采购,2026-01-17 16:35:24
BYD平衡重式叉车CPD16S 三支点锂电池搬运车 电动叉车 规格齐全,叉车,10.00万/台,无锡市名勋叉车有限公司,,百度爱采购,2026-01-17 16:35:25
新能源电动叉车 晟煜机械制造 多吨位车搬运车 载重强 支持验厂,叉车,8500.00元/台,山西中跃机械制造有限公司,,百度爱采购,2026-01-17 16:35:25
高位拣选叉车 电机驱动车 装载装卸搬运 应用范围广,叉车,5800.00元/台,重庆鼎尚力叉车销售有限公司,,百度爱采购,2026-01-17 16:35:26
2吨多功能电动叉车 仓储地牛小型搬运堆高车 厂家直发,叉车,8800.00元/台,山东山鼎工程机械集团有限公司,,百度爱采购,2026-01-17 16:35:26
升降车 结构稳固 应用于仓库运输 CPD-20叉车 聚壹环保,叉车,1.00万/台,陕西聚壹环保科技有限公司,,百度爱采购,2026-01-17 16:35:27
防爆式全电动堆高车 电动叉车 货物搬运工具车 厂家直供 特恒旺,叉车,3.78万/台,特恒旺工业设备（武汉）有限公司,,百度爱采购,2026-01-17 16:35:27
叉车16吨 动力装卸加高加厚升降运输快 复达机械,叉车,32.00万/台,泉州市复达机械设备有限公司,,百度爱采购,2026-01-17 16:35:28
站驾式全电动叉车 搬运堆垛车 手扶站立式堆高车,叉车,2300.00元/台,邢台市卓讯机械厂,,百度爱采购,2026-01-17 16:35:28
堆高车 1.5吨电动叉车小型 可用于仓库货架 实力工厂,叉车,6000.00元/台,济宁山江工程机械有限公司,,百度爱采购,2026-01-17 16:35:29
座驾式小型2.5吨叉车 多功能液压搬运车 升降平稳,叉车,2.90万/辆,郓城通畅机械设备有限公司,,百度爱采购,2026-01-17 16:35:29
4吨新能源叉车厂商 2吨电动堆高车 性能优越售后质保 东程机械,叉车,1.89万/台,山东东程机械制造有限公司,,百度爱采购,2026-01-17 16:35:30
四轮起升2.5吨电动叉车工业托盘搬运车液压升降座驾式新能源叉车,叉车,1.00万/台,山东捷茂机械有限公司,,百度爱采购,2026-01-17 16:35:30
小型电动叉车2吨全自动液压升降堆高搬运座驾式新能源电瓶叉车,叉车,8250.00元/台,中旺机械装备（山东）有限公司,,百度爱采购,2026-01-17 16:35:31
奥莱 户外用搬运设备 柴油四驱堆高车 山地搬运货物用越野叉车,叉车,4.40万/台,山东奥莱机械有限公司,,百度爱采购,2026-01-17 16:35:32
山立重工全地形10吨柴油四驱越野叉车 搬运堆高装卸一机多用,叉车,10.08万/台,山东山立重工机械有限公司,,百度爱采购,2026-01-17 16:35:33
